n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
103,0,103001234,potts,0.6,0.6,solution,lufo,decomposition,15339168,12770,0.4947,482,1,0,0,0,0,0,0,0,0,0,0,ok,
104,0,104001237,potts,0.6,0.6,solution,lufo,decomposition,15339168,16484,0.4708,454,1,0,0,0,0,0,0,0,0,0,0,ok,
105,0,105001240,potts,0.6,0.6,solution,lufo,decomposition,15339168,21934,0.5066,476,1,0,0,0,0,0,0,0,0,0,0,ok,
106,0,106001243,potts,0.6,0.6,solution,lufo,decomposition,15339168,19073,0.5304,470,1,0,0,0,0,0,0,0,0,0,0,ok,
107,0,107001246,potts,0.6,0.6,solution,lufo,decomposition,15339168,23388,0.4978,466,1,0,0,0,0,0,0,0,0,0,0,ok,
108,0,108001249,potts,0.6,0.6,solution,lufo,decomposition,15339168,14680,0.4923,456,1,0,0,0,0,0,0,0,0,0,0,ok,
109,0,109001252,potts,0.6,0.6,solution,lufo,decomposition,15339168,19383,0.5051,494,1,0,0,0,0,0,0,0,0,0,0,ok,
110,0,110001255,potts,0.6,0.6,solution,lufo,decomposition,15339168,26474,0.4925,480,1,0,0,0,0,0,0,0,0,0,0,ok,
111,0,111001258,potts,0.6,0.6,solution,lufo,decomposition,15339168,28500,0.6941,488,1,0,0,0,0,0,0,0,0,0,0,ok,
112,0,112001261,potts,0.6,0.6,solution,lufo,decomposition,15339168,16788,0.5485,480,1,0,0,0,0,0,0,0,0,0,0,ok,
113,0,113001264,potts,0.6,0.6,solution,lufo,decomposition,15339168,23323,0.5762,506,1,0,0,0,0,0,0,0,0,0,0,ok,
114,0,114001267,potts,0.6,0.6,solution,lufo,decomposition,15339168,19269,0.6024,520,1,0,0,0,0,0,0,0,0,0,0,ok,
115,0,115001270,potts,0.6,0.6,solution,lufo,decomposition,15339168,18831,0.6431,510,1,0,0,0,0,0,0,0,0,0,0,ok,
116,0,116001273,potts,0.6,0.6,solution,lufo,decomposition,15339168,18043,0.6368,536,1,0,0,0,0,0,0,0,0,0,0,ok,
117,0,117001276,potts,0.6,0.6,solution,lufo,decomposition,15339168,18791,0.6861,542,1,0,0,0,0,0,0,0,0,0,0,ok,
118,0,118001279,potts,0.6,0.6,solution,lufo,decomposition,15339168,20068,0.6557,532,1,0,0,0,0,0,0,0,0,0,0,ok,
119,0,119001282,potts,0.6,0.6,solution,lufo,decomposition,15339168,24301,0.7009,534,1,0,0,0,0,0,0,0,0,0,0,ok,
120,0,120001285,potts,0.6,0.6,solution,lufo,decomposition,15339168,26111,0.7219,544,1,0,0,0,0,0,0,0,0,0,0,ok,
121,0,121001288,potts,0.6,0.6,solution,lufo,decomposition,15339168,23905,0.6892,536,1,0,0,0,0,0,0,0,0,0,0,ok,
122,0,122001291,potts,0.6,0.6,solution,lufo,decomposition,15339168,28002,0.7452,544,1,0,0,0,0,0,0,0,0,0,0,ok,
123,0,123001294,potts,0.6,0.6,solution,lufo,decomposition,15339168,21623,0.7326,550,1,0,0,0,0,0,0,0,0,0,0,ok,
124,0,124001297,potts,0.6,0.6,solution,lufo,decomposition,15339168,28115,0.7395,534,1,0,0,0,0,0,0,0,0,0,0,ok,
125,0,125001300,potts,0.6,0.6,solution,lufo,decomposition,15339168,25597,0.7674,550,1,0,0,0,0,0,0,0,0,0,0,ok,
126,0,126001303,potts,0.6,0.6,solution,lufo,decomposition,15339168,21119,0.7965,570,1,0,0,0,0,0,0,0,0,0,0,ok,
127,0,127001306,potts,0.6,0.6,solution,lufo,decomposition,15339168,28348,0.7444,552,1,0,0,0,0,0,0,0,0,0,0,ok,
128,0,128001309,potts,0.6,0.6,solution,lufo,decomposition,15339168,28905,0.7481,564,1,0,0,0,0,0,0,0,0,0,0,ok,
129,0,129001312,potts,0.6,0.6,solution,lufo,decomposition,14982444,22329,0.7953,594,1,0,0,0,0,0,0,0,0,0,0,ok,
130,0,130001315,potts,0.6,0.6,solution,lufo,decomposition,14982444,38491,1.1817,552,1,0,0,0,0,0,0,0,0,0,0,ok,
131,0,131001318,potts,0.6,0.6,solution,lufo,decomposition,14982444,29310,0.8065,580,1,0,0,0,0,0,0,0,0,0,0,ok,
132,0,132001321,potts,0.6,0.6,solution,lufo,decomposition,14982444,26226,0.8079,568,1,0,0,0,0,0,0,0,0,0,0,ok,
133,0,133001324,potts,0.6,0.6,solution,lufo,decomposition,14982444,30394,0.855,578,1,0,0,0,0,0,0,0,0,0,0,ok,
134,0,134001327,potts,0.6,0.6,solution,lufo,decomposition,14982444,34251,0.8219,594,1,0,0,0,0,0,0,0,0,0,0,ok,
135,0,135001330,potts,0.6,0.6,solution,lufo,decomposition,14982444,26981,0.8638,620,1,0,0,0,0,0,0,0,0,0,0,ok,
136,0,136001333,potts,0.6,0.6,solution,lufo,decomposition,14982444,21826,0.8568,600,1,0,0,0,0,0,0,0,0,0,0,ok,
137,0,137001336,potts,0.6,0.6,solution,lufo,decomposition,14982444,28410,0.9242,634,1,0,0,0,0,0,0,0,0,0,0,ok,
138,0,138001339,potts,0.6,0.6,solution,lufo,decomposition,14982444,29181,0.88,626,1,0,0,0,0,0,0,0,0,0,0,ok,
139,0,139001342,potts,0.6,0.6,solution,lufo,decomposition,14982444,36608,0.9048,616,1,0,0,0,0,0,0,0,0,0,0,ok,
140,0,140001345,potts,0.6,0.6,solution,lufo,decomposition,14982444,34095,0.9615,632,1,0,0,0,0,0,0,0,0,0,0,ok,
141,0,141001348,potts,0.6,0.6,solution,lufo,decomposition,14982444,32565,0.9532,634,1,0,0,0,0,0,0,0,0,0,0,ok,
142,0,142001351,potts,0.6,0.6,solution,lufo,decomposition,14982444,35778,0.9285,630,1,0,0,0,0,0,0,0,0,0,0,ok,
143,0,143001354,potts,0.6,0.6,solution,lufo,decomposition,14982444,28079,1.0096,636,1,0,0,0,0,0,0,0,0,0,0,ok,
144,0,144001357,potts,0.6,0.6,solution,lufo,decomposition,14982444,34484,1.0242,646,1,0,0,0,0,0,0,0,0,0,0,ok,
145,0,145001360,potts,0.6,0.6,solution,lufo,decomposition,14982444,35424,0.9637,632,1,0,0,0,0,0,0,0,0,0,0,ok,
146,0,146001363,potts,0.6,0.6,solution,lufo,decomposition,14982444,33749,0.9626,658,1,0,0,0,0,0,0,0,0,0,0,ok,
147,0,147001366,potts,0.6,0.6,solution,lufo,decomposition,14982444,40536,1.1037,636,1,0,0,0,0,0,0,0,0,0,0,ok,
148,0,148001369,potts,0.6,0.6,solution,lufo,decomposition,14982444,34533,1.1074,684,1,0,0,0,0,0,0,0,0,0,0,ok,
149,0,149001372,potts,0.6,0.6,solution,lufo,decomposition,14982444,42409,1.1225,672,1,0,0,0,0,0,0,0,0,0,0,ok,
150,0,150001375,potts,0.6,0.6,solution,lufo,decomposition,14982444,35710,1.1221,682,1,0,0,0,0,0,0,0,0,0,0,ok,
151,0,151001378,potts,0.6,0.6,solution,lufo,decomposition,14982444,41588,1.1247,656,1,0,0,0,0,0,0,0,0,0,0,ok,
152,0,152001381,potts,0.6,0.6,solution,lufo,decomposition,14982444,41860,1.1321,678,1,0,0,0,0,0,0,0,0,0,0,ok,
153,0,153001384,potts,0.6,0.6,solution,lufo,decomposition,14982444,32641,1.1458,686,1,0,0,0,0,0,0,0,0,0,0,ok,
154,0,154001387,potts,0.6,0.6,solution,lufo,decomposition,14982444,42961,1.0585,668,1,0,0,0,0,0,0,0,0,0,0,ok,
155,0,155001390,potts,0.6,0.6,solution,lufo,decomposition,14982444,38629,1.1975,712,1,0,0,0,0,0,0,0,0,0,0,ok,
156,0,156001393,potts,0.6,0.6,solution,lufo,decomposition,14982444,37786,1.2328,704,1,0,0,0,0,0,0,0,0,0,0,ok,
157,0,157001396,potts,0.6,0.6,solution,lufo,decomposition,14982444,37024,1.2235,696,1,0,0,0,0,0,0,0,0,0,0,ok,
158,0,158001399,potts,0.6,0.6,solution,lufo,decomposition,14982444,34169,1.166,714,1,0,0,0,0,0,0,0,0,0,0,ok,
159,0,159001402,potts,0.6,0.6,solution,lufo,decomposition,14982444,46899,1.1803,694,1,0,0,0,0,0,0,0,0,0,0,ok,
160,0,160001405,potts,0.6,0.6,solution,lufo,decomposition,14982444,45398,1.2422,694,1,0,0,0,0,0,0,0,0,0,0,ok,
161,0,161001408,potts,0.6,0.6,solution,lufo,decomposition,14982444,33453,1.3944,718,1,0,0,0,0,0,0,0,0,0,0,ok,
162,0,162001411,potts,0.6,0.6,solution,lufo,decomposition,14982444,38363,1.3062,716,1,0,0,0,0,0,0,0,0,0,0,ok,
163,0,163001414,potts,0.6,0.6,solution,lufo,decomposition,14982444,47805,1.3018,722,1,0,0,0,0,0,0,0,0,0,0,ok,
164,0,164001417,potts,0.6,0.6,solution,lufo,decomposition,14982444,53675,1.3032,746,1,0,0,0,0,0,0,0,0,0,0,ok,
165,0,165001420,potts,0.6,0.6,solution,lufo,decomposition,14982444,42416,1.3431,738,1,0,0,0,0,0,0,0,0,0,0,ok,
166,0,166001423,potts,0.6,0.6,solution,lufo,decomposition,14982444,51149,1.3263,720,1,0,0,0,0,0,0,0,0,0,0,ok,
167,0,167001426,potts,0.6,0.6,solution,lufo,decomposition,14982444,43464,1.306,718,1,0,0,0,0,0,0,0,0,0,0,ok,
168,0,168001429,potts,0.6,0.6,solution,lufo,decomposition,14982444,53155,1.3846,760,1,0,0,0,0,0,0,0,0,0,0,ok,
169,0,169001432,potts,0.6,0.6,solution,lufo,decomposition,14982444,50159,1.4566,748,1,0,0,0,0,0,0,0,0,0,0,ok,
170,0,170001435,potts,0.6,0.6,solution,lufo,decomposition,14982444,50164,1.3719,764,1,0,0,0,0,0,0,0,0,0,0,ok,
171,0,171001438,potts,0.6,0.6,solution,lufo,decomposition,14982444,47782,1.2946,728,1,0,0,0,0,0,0,0,0,0,0,ok,
172,0,172001441,potts,0.6,0.6,solution,lufo,decomposition,14982444,46520,1.5911,774,1,0,0,0,0,0,0,0,0,0,0,ok,
173,0,173001444,potts,0.6,0.6,solution,lufo,decomposition,14982444,55378,1.5299,764,1,0,0,0,0,0,0,0,0,0,0,ok,
174,0,174001447,potts,0.6,0.6,solution,lufo,decomposition,14982444,65858,1.4622,782,1,0,0,0,0,0,0,0,0,0,0,ok,
175,0,175001450,potts,0.6,0.6,solution,lufo,decomposition,14982444,64745,1.5025,776,1,0,0,0,0,0,0,0,0,0,0,ok,
176,0,176001453,potts,0.6,0.6,solution,lufo,decomposition,14982444,45352,1.5356,798,1,0,0,0,0,0,0,0,0,0,0,ok,
177,0,177001456,potts,0.6,0.6,solution,lufo,decomposition,14982444,63912,1.5553,792,1,0,0,0,0,0,0,0,0,0,0,ok,
178,0,178001459,potts,0.6,0.6,solution,lufo,decomposition,14982444,54734,1.86,768,1,0,0,0,0,0,0,0,0,0,0,ok,
179,0,179001462,potts,0.6,0.6,solution,lufo,decomposition,14982444,57386,1.6903,802,1,0,0,0,0,0,0,0,0,0,0,ok,
180,0,180001465,potts,0.6,0.6,solution,lufo,decomposition,14982444,65024,1.9882,812,1,0,0,0,0,0,0,0,0,0,0,ok,
181,0,181001468,potts,0.6,0.6,solution,lufo,decomposition,14982444,53226,1.6665,822,1,0,0,0,0,0,0,0,0,0,0,ok,
182,0,182001471,potts,0.6,0.6,solution,lufo,decomposition,14982444,64446,1.7888,810,1,0,0,0,0,0,0,0,0,0,0,ok,
183,0,183001474,potts,0.6,0.6,solution,lufo,decomposition,14982444,54701,1.726,818,1,0,0,0,0,0,0,0,0,0,0,ok,
184,0,184001477,potts,0.6,0.6,solution,lufo,decomposition,14982444,46718,1.6388,822,1,0,0,0,0,0,0,0,0,0,0,ok,
185,0,185001480,potts,0.6,0.6,solution,lufo,decomposition,14982444,42048,1.7676,848,1,0,0,0,0,0,0,0,0,0,0,ok,
186,0,186001483,potts,0.6,0.6,solution,lufo,decomposition,14982444,60380,1.7229,832,1,0,0,0,0,0,0,0,0,0,0,ok,
187,0,187001486,potts,0.6,0.6,solution,lufo,decomposition,14982444,47454,1.805,850,1,0,0,0,0,0,0,0,0,0,0,ok,
188,0,188001489,potts,0.6,0.6,solution,lufo,decomposition,14982444,46490,1.7805,832,1,0,0,0,0,0,0,0,0,0,0,ok,
189,0,189001492,potts,0.6,0.6,solution,lufo,decomposition,14982444,69806,1.8808,842,1,0,0,0,0,0,0,0,0,0,0,ok,
190,0,190001495,potts,0.6,0.6,solution,lufo,decomposition,14982444,54049,1.8434,866,1,0,0,0,0,0,0,0,0,0,0,ok,
