n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
312,0,312001861,potts,0.6,0.6,solution,lru,decomposition,14316557,159336,5.6311,1396,1,0,0,0,0,0,0,0,0,0,0,ok,
313,0,313001864,potts,0.6,0.6,solution,lru,decomposition,14316557,177985,5.771,1408,1,0,0,0,0,0,0,0,0,0,0,ok,
314,0,314001867,potts,0.6,0.6,solution,lru,decomposition,14316557,160987,5.894,1410,1,0,0,0,0,0,0,0,0,0,0,ok,
315,0,315001870,potts,0.6,0.6,solution,lru,decomposition,14316557,187073,5.832,1416,1,0,0,0,0,0,0,0,0,0,0,ok,
316,0,316001873,potts,0.6,0.6,solution,lru,decomposition,14316557,185478,6.4164,1410,1,0,0,0,0,0,0,0,0,0,0,ok,
317,0,317001876,potts,0.6,0.6,solution,lru,decomposition,14316557,136134,6.0191,1450,1,0,0,0,0,0,0,0,0,0,0,ok,
318,0,318001879,potts,0.6,0.6,solution,lru,decomposition,14316557,171143,5.9047,1422,1,0,0,0,0,0,0,0,0,0,0,ok,
319,0,319001882,potts,0.6,0.6,solution,lru,decomposition,14316557,149949,5.8471,1458,1,0,0,0,0,0,0,0,0,0,0,ok,
320,0,320001885,potts,0.6,0.6,solution,lru,decomposition,14316557,163066,5.9154,1468,1,0,0,0,0,0,0,0,0,0,0,ok,
321,0,321001888,potts,0.6,0.6,solution,lru,decomposition,14005328,151133,5.8799,1472,1,0,0,0,0,0,0,0,0,0,0,ok,
322,0,322001891,potts,0.6,0.6,solution,lru,decomposition,14005328,170093,6.2629,1478,1,0,0,0,0,0,0,0,0,0,0,ok,
323,0,323001894,potts,0.6,0.6,solution,lru,decomposition,14005328,190459,6.1444,1450,1,0,0,0,0,0,0,0,0,0,0,ok,
324,0,324001897,potts,0.6,0.6,solution,lru,decomposition,14005328,190533,6.2577,1442,1,0,0,0,0,0,0,0,0,0,0,ok,
325,0,325001900,potts,0.6,0.6,solution,lru,decomposition,14005328,138365,6.0262,1488,1,0,0,0,0,0,0,0,0,0,0,ok,
326,0,326001903,potts,0.6,0.6,solution,lru,decomposition,14005328,183199,6.277,1490,1,0,0,0,0,0,0,0,0,0,0,ok,
327,0,327001906,potts,0.6,0.6,solution,lru,decomposition,14005328,241453,6.4772,1496,1,0,0,0,0,0,0,0,0,0,0,ok,
328,0,328001909,potts,0.6,0.6,solution,lru,decomposition,14005328,178240,6.4377,1496,1,0,0,0,0,0,0,0,0,0,0,ok,
329,0,329001912,potts,0.6,0.6,solution,lru,decomposition,14005328,162327,6.2651,1494,1,0,0,0,0,0,0,0,0,0,0,ok,
330,0,330001915,potts,0.6,0.6,solution,lru,decomposition,14005328,159630,6.1869,1478,1,0,0,0,0,0,0,0,0,0,0,ok,
331,0,331001918,potts,0.6,0.6,solution,lru,decomposition,14005328,147126,6.5962,1488,1,0,0,0,0,0,0,0,0,0,0,ok,
332,0,332001921,potts,0.6,0.6,solution,lru,decomposition,14005328,157055,6.4131,1478,1,0,0,0,0,0,0,0,0,0,0,ok,
333,0,333001924,potts,0.6,0.6,solution,lru,decomposition,14005328,181680,6.2706,1512,1,0,0,0,0,0,0,0,0,0,0,ok,
334,0,334001927,potts,0.6,0.6,solution,lru,decomposition,14005328,166126,6.0765,1504,1,0,0,0,0,0,0,0,0,0,0,ok,
335,0,335001930,potts,0.6,0.6,solution,lru,decomposition,14005328,190427,6.6826,1486,1,0,0,0,0,0,0,0,0,0,0,ok,
336,0,336001933,potts,0.6,0.6,solution,lru,decomposition,14005328,196492,6.5753,1518,1,0,0,0,0,0,0,0,0,0,0,ok,
337,0,337001936,potts,0.6,0.6,solution,lru,decomposition,14005328,152586,6.6676,1532,1,0,0,0,0,0,0,0,0,0,0,ok,
338,0,338001939,potts,0.6,0.6,solution,lru,decomposition,14005328,164798,6.8629,1542,1,0,0,0,0,0,0,0,0,0,0,ok,
339,0,339001942,potts,0.6,0.6,solution,lru,decomposition,14005328,163393,7.296,1568,1,0,0,0,0,0,0,0,0,0,0,ok,
340,0,340001945,potts,0.6,0.6,solution,lru,decomposition,14005328,178773,6.984,1560,1,0,0,0,0,0,0,0,0,0,0,ok,
341,0,341001948,potts,0.6,0.6,solution,lru,decomposition,14005328,187451,6.8925,1526,1,0,0,0,0,0,0,0,0,0,0,ok,
342,0,342001951,potts,0.6,0.6,solution,lru,decomposition,14005328,200968,6.886,1542,1,0,0,0,0,0,0,0,0,0,0,ok,
343,0,343001954,potts,0.6,0.6,solution,lru,decomposition,14005328,185602,7.1999,1568,1,0,0,0,0,0,0,0,0,0,0,ok,
344,0,344001957,potts,0.6,0.6,solution,lru,decomposition,14005328,200331,7.1793,1568,1,0,0,0,0,0,0,0,0,0,0,ok,
345,0,345001960,potts,0.6,0.6,solution,lru,decomposition,14005328,173159,7.1182,1580,1,0,0,0,0,0,0,0,0,0,0,ok,
346,0,346001963,potts,0.6,0.6,solution,lru,decomposition,14005328,172477,7.3152,1602,1,0,0,0,0,0,0,0,0,0,0,ok,
347,0,347001966,potts,0.6,0.6,solution,lru,decomposition,14005328,211973,7.1674,1572,1,0,0,0,0,0,0,0,0,0,0,ok,
348,0,348001969,potts,0.6,0.6,solution,lru,decomposition,14005328,181350,6.9502,1548,1,0,0,0,0,0,0,0,0,0,0,ok,
349,0,349001972,potts,0.6,0.6,solution,lru,decomposition,14005328,200048,7.2653,1580,1,0,0,0,0,0,0,0,0,0,0,ok,
350,0,350001975,potts,0.6,0.6,solution,lru,decomposition,14005328,177725,7.0189,1582,1,0,0,0,0,0,0,0,0,0,0,ok,
351,0,351001978,potts,0.6,0.6,solution,lru,decomposition,14005328,209983,7.1982,1566,1,0,0,0,0,0,0,0,0,0,0,ok,
352,0,352001981,potts,0.6,0.6,solution,lru,decomposition,14005328,215778,6.8619,1566,1,0,0,0,0,0,0,0,0,0,0,ok,
353,0,353001984,potts,0.6,0.6,solution,lru,decomposition,14005328,228211,7.4731,1584,1,0,0,0,0,0,0,0,0,0,0,ok,
354,0,354001987,potts,0.6,0.6,solution,lru,decomposition,14005328,249483,7.3574,1588,1,0,0,0,0,0,0,0,0,0,0,ok,
355,0,355001990,potts,0.6,0.6,solution,lru,decomposition,14005328,220828,7.503,1610,1,0,0,0,0,0,0,0,0,0,0,ok,
356,0,356001993,potts,0.6,0.6,solution,lru,decomposition,14005328,196290,7.6352,1634,1,0,0,0,0,0,0,0,0,0,0,ok,
